dishID,dishname,prep_time,ingre_list,num_servings,nutri_guide,skills_needed,age_range,meal_type
132,Labanos Salad,15,"Daikon radish, Tomatoes, Onions, Vinegar",4-5,"Calories: 100, Protein: 2g, Carbs: 20g, Fats: 0g",Beginner,"Adults, Kids",Vegetable Dishes
133,Leche Flan,60,"Egg yolks, Condensed milk, Sugar",4-5,"Calories: 300, Protein: 6g, Carbs: 30g, Fats: 18g",Intermediate,"Kids, Adults",Dessert
134,Panga ng Isda,45,"Fish, Ginger, Garlic, Onion, Soy sauce",2-3,"Calories: 400, Protein: 25g, Carbs: 5g, Fats: 30g",Intermediate,"Adults, Teens",Vegetable with Seafood
135,Goto,90,"Beef tripe, Rice, Ginger, Garlic, Onion",4-5,"Calories: 500, Protein: 30g, Carbs: 60g, Fats: 20g",Advanced,"Adults, Teens",Soup
136,Longganisa,30,"Ground pork, Garlic, Sugar, Vinegar, Spices",4-5,"Calories: 400, Protein: 25g, Carbs: 10g, Fats: 35g",Intermediate,"Adults, Teens",Vegetable with Meat
137,Eggplant Tortang,30,"Eggplant, Eggs, Onion, Tomato, Oil",2-3,"Calories: 250, Protein: 8g, Carbs: 20g, Fats: 15g",Intermediate,"Kids, Adults",Vegetable with Meat
138,Pinakbet,60,"Mixed vegetables, Shrimp paste, Pork, Tomato",4-5,"Calories: 350, Protein: 15g, Carbs: 40g, Fats: 20g",Intermediate,"Adults, Kids",Vegetable Dishes
139,Sautéed Ampalaya,20,"Bitter melon, Eggs, Tomatoes, Onion",2-3,"Calories: 150, Protein: 5g, Carbs: 10g, Fats: 10g",Beginner,"Adults, Teens",Vegetable Dishes
140,Chicken Afritada,60,"Chicken, Potatoes, Carrots, Tomato sauce",2-3,"Calories: 500, Protein: 35g, Carbs: 40g, Fats: 20g",Intermediate,"Adults, Teens",Vegetable with Meat
141,Turon,20,"Bananas, Spring roll wrappers, Brown sugar, Peanut",2-3,"Calories: 200, Protein: 1g, Carbs: 40g, Fats: 8g",Beginner,"Kids, Adults",Dessert
142,Bihon Guisado,40,"Rice noodles, Chicken, Shrimp, Mixed vegetables",4-5,"Calories: 400, Protein: 25g, Carbs: 60g, Fats: 15g",Intermediate,"Adults, Teens",Vegetable with Meat
143,Bawang na Panga,45,"Fish, Garlic, Ginger, Soy sauce",2-3,"Calories: 350, Protein: 25g, Carbs: 5g, Fats: 20g",Intermediate,Adults,Vegetable with Seafood
144,Macapuno Salad,15,"Macapuno, Condensed milk, Fruit cocktail",2-3,"Calories: 300, Protein: 3g, Carbs: 40g, Fats: 15g",Beginner,"Kids, Teens",Dessert
145,Labanos Sinigang,90,"Pork, Daikon, Tamarind, Spinach, Tomatoes",4-5,"Calories: 400, Protein: 25g, Carbs: 15g, Fats: 20g",Intermediate,"Adults, Teens",Soup
146,Chicken Curry,60,"Chicken, Coconut milk, Curry powder, Vegetables",4-5,"Calories: 550, Protein: 40g, Carbs: 30g, Fats: 25g",Intermediate,Adults,Vegetable with Meat
147,Sweet and Sour Pork,60,"Pork, Pineapple, Bell peppers, Vinegar, Sugar",4-5,"Calories: 500, Protein: 30g, Carbs: 40g, Fats: 25g",Intermediate,"Adults, Teens",Vegetable with Meat
148,Tofu and Veggie Stir Fry,30,"Tofu, Broccoli, Carrots, Soy sauce, Garlic",2-3,"Calories: 250, Protein: 20g, Carbs: 30g, Fats: 10g",Beginner,"Kids, Adults",Vegetable Dishes
149,Ginataang Bilo-Bilo,40,"Glutinous rice balls, Coconut milk, Sweet potatoes",4-5,"Calories: 300, Protein: 4g, Carbs: 50g, Fats: 15g",Beginner,"Kids, Teens",Dessert
150,Batchoy,60,"Pork, Noodles, Broth, Liver, Chicharrón",4-5,"Calories: 500, Protein: 30g, Carbs: 60g, Fats: 25g",Intermediate,Adults,Soup
151,Tinapa,40,"Smoked fish, Tomatoes, Onion, Garlic",2-3,"Calories: 350, Protein: 25g, Carbs: 5g, Fats: 20g",Beginner,"Adults, Teens",Vegetable with Seafood
152,Pancit Habhab,30,"Noodles, Pork, Vegetables, Soy sauce",2-3,"Calories: 400, Protein: 25g, Carbs: 60g, Fats: 15g",Intermediate,"Adults, Kids",Vegetable with Meat
153,Kutsinta,40,"Rice flour, Brown sugar, Coconut milk, Lye water",2-3,"Calories: 200, Protein: 4g, Carbs: 35g, Fats: 6g",Beginner,"Kids, Adults",Dessert
154,Sizzling Tofu,30,"Tofu, Bell peppers, Soy sauce, Egg, Vegetables",4-5,"Calories: 400, Protein: 20g, Carbs: 30g, Fats: 25g",Intermediate,Adults,Vegetable Dishes
155,Bihon Guisado with Seafood,40,"Rice noodles, Shrimp, Squid, Vegetables",4-5,"Calories: 450, Protein: 30g, Carbs: 70g, Fats: 15g",Intermediate,"Adults, Teens",Vegetable with Seafood
156,Pritong Isda,30,"Fish, Garlic, Lemon, Oil",4-5,"Calories: 300, Protein: 25g, Carbs: 0g, Fats: 20g",Beginner,Adults,Vegetable with Meat
157,Gabi at Buko,40,"Taro, Coconut, Milk, Sugar",2-3,"Calories: 250, Protein: 5g, Carbs: 40g, Fats: 10g",Intermediate,"Kids, Teens",Dessert
158,Beef Caldereta,90,"Beef, Tomato sauce, Bell peppers, Potatoes",4-5y,"Calories: 600, Protein: 40g, Carbs: 30g, Fats: 35g",Advanced,Adults,Vegetable with Meat
159,Salpicao,40,"Beef, Garlic, Worcestershire sauce, Olive oil",2-3,"Calories: 400, Protein: 30g, Carbs: 5g, Fats: 30g",Intermediate,"Adults, Teens",Vegetable with Meat
160,Camaron Rebosado,30,"Shrimp, Flour, Eggs, Bread crumbs",4-5,"Calories: 350, Protein: 25g, Carbs: 40g, Fats: 10g",Intermediate,"Kids, Adults",Appetizer
161,Suman,60,"Glutinous rice, Coconut milk, Sugar",4-5,"Calories: 200, Protein: 3g, Carbs: 45g, Fats: 5g",Beginner,"Kids, Teens",Dessert
162,Arroz Caldo,60,"Chicken, Rice, Ginger, Garlic, Green onions",4-5,"Calories: 350, Protein: 25g, Carbs: 50g, Fats: 10g",Intermediate,"Adults, Kids",Soup
163,Caprese Salad,15,"Fresh mozzarella, Tomatoes, Basil, Olive oil, Balsamic",4-5,"Calories: 300, Protein: 15g, Carbs: 10g, Fats: 25g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
164,Caesar Salad,20,"Romaine lettuce, Croutons, Parmesan, Caesar dressing",4-5,"Calories: 250, Protein: 10g, Carbs: 15g, Fats: 20g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
165,Spaghetti Carbonara,30,"Spaghetti, Eggs, Pancetta, Parmesan, Black pepper",4-5,"Calories: 600, Protein: 25g, Carbs: 70g, Fats: 25g",Intermediate,"Kids, Teens, Adults, Elders",Vegetable Dish
166,Beef Stroganoff,45,"Beef, Mushrooms, Onion, Sour cream, Egg noodles",4-5,"Calories: 500, Protein: 30g, Carbs: 40g, Fats: 25g",Intermediate,Adults,Vegetable Dish
167,Chicken Tikka Masala,60,"Chicken, Yogurt, Tomatoes, Spices, Rice",4-5,"Calories: 700, Protein: 35g, Carbs: 70g, Fats: 30g",Advanced,Adults,Vegetable Dish
168,Ratatouille,50,"Eggplant, Zucchini, Bell peppers, Tomatoes, Herbs",4-5,"Calories: 200, Protein: 5g, Carbs: 40g, Fats: 5g",Intermediate,"Kids, Teens, Adults, Elders",Vegetable Dish
169,Pad Thai,30,"Rice noodles, Shrimp, Eggs, Tofu, Peanuts, Lime",4-5,"Calories: 400, Protein: 20g, Carbs: 60g, Fats: 15g",Intermediate,"Kids, Teens, Adults, Elders",Vegetable Dish
170,Chili Con Carne,60,"Ground beef, Beans, Tomatoes, Chili powder, Onion",4-5,"Calories: 500, Protein: 30g, Carbs: 40g, Fats: 20g",Intermediate,Adults,Vegetable Dish
171,Greek Salad,15,"Cucumber, Tomatoes, Feta cheese, Olives, Olive oil",2-3,"Calories: 250, Protein: 8g, Carbs: 15g, Fats: 20g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
172,Beef Bourguignon,150,"Beef, Red wine, Mushrooms, Onions, Bacon",4-5,"Calories: 600, Protein: 40g, Carbs: 30g, Fats: 30g",Advanced,Adults,Vegetable Dish
173,Moussaka,90,"Eggplant, Ground beef, Tomatoes, Bechamel sauce",4-5,"Calories: 500, Protein: 25g, Carbs: 40g, Fats: 30g",Advanced,Adults,Vegetable Dish
174,Fettuccine Alfredo,20,"Fettuccine, Heavy cream, Parmesan, Butter",4-5,"Calories: 800, Protein: 20g, Carbs: 70g, Fats: 45g",Intermediate,"Kids, Teens, Adults, Elders",Vegetable Dish
175,Vegetable Stir-Fry,20,"Mixed vegetables, Soy sauce, Ginger, Garlic",4-5,"Calories: 150, Protein: 5g, Carbs: 30g, Fats: 5g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dish
176,Tiramisu,30,"Mascarpone, Espresso, Ladyfingers, Cocoa powder",4-5,"Calories: 400, Protein: 8g, Carbs: 45g, Fats: 20g",Intermediate,"Kids, Teens, Adults, Elders",Dessert
177,Chocolate Mousse,20,"Dark chocolate, Eggs, Sugar, Cream",2-3,"Calories: 300, Protein: 5g, Carbs: 30g, Fats: 20g",Intermediate,"Kids, Teens, Adults, Elders",Dessert
178,Apple Pie,60,"Apples, Pie crust, Sugar, Cinnamon",2-3,"Calories: 250, Protein: 2g, Carbs: 40g, Fats: 10g",Intermediate,"Kids, Teens, Adults, Elders",Dessert
179,Crème Brûlée,45,"Cream, Eggs, Sugar, Vanilla",4-5,"Calories: 300, Protein: 6g, Carbs: 20g, Fats: 25g",Advanced,Adults,Dessert
180,Panna Cotta,20,"Cream, Sugar, Gelatin, Vanilla",2-3,"Calories: 250, Protein: 5g, Carbs: 20g, Fats: 15g",Intermediate,"Kids, Teens, Adults, Elders",Dessert
181,Cheesecake,60,"Cream cheese, Sugar, Eggs, Graham cracker crust",4-5,"Calories: 350, Protein: 6g, Carbs: 30g, Fats: 25g",Intermediate,"Kids, Teens, Adults, Elders",Dessert
182,Banoffee Pie,30,"Bananas, Toffee, Cream, Biscuit base",4-5,"Calories: 400, Protein: 3g, Carbs: 45g, Fats: 25g",Intermediate,"Kids, Teens, Adults, Elders",Dessert
211,Menudo,90,"Pork, Carrots, Potatoes, Tomato sauce, Raisins",4-5,"Calories: 400, Protein: 30g, Carbs: 50g, Fats: 15g",Intermediate,Adults,Vegetable Dish with Meat
212,Chicken Inasal,60,"Chicken, Vinegar, Lemongrass, Garlic, Soy sauce",4-5,"Calories: 350, Protein: 25g, Carbs: 5g, Fats: 20g",Intermediate,Adults,Vegetable Dish with Meat
213,Laing,45,"Taro leaves, Coconut milk, Chili, Shrimp paste",2-3,"Calories: 300, Protein: 10g, Carbs: 20g, Fats: 25g",Intermediate,All ages,Vegetable Dish with Seafood
214,Chopsuey,30,"Mixed vegetables, Chicken, Soy sauce, Garlic, Cornstarch",4-5,"Calories: 250, Protein: 20g, Carbs: 30g, Fats: 10g",Beginner,Kids,Vegetable Dish
215,Bibingka,60,"Rice flour, Coconut milk, Sugar, Eggs, Cheese",2-3,"Calories: 200, Protein: 4g, Carbs: 30g, Fats: 8g",Intermediate,All ages,Dessert
216,Turon,30,"Banana, Spring roll wrapper, Brown sugar, Oil",2-3,"Calories: 200, Protein: 1g, Carbs: 30g, Fats: 10g",Beginner,Kids,Dessert
217,Puto,40,"Rice flour, Sugar, Coconut milk, Baking powder, Cheese",2-3,"Calories: 150, Protein: 3g, Carbs: 25g, Fats: 5g",Beginner,Kids,Dessert
218,Longganisa,60,"Ground pork, Garlic, Spices, Sugar, Vinegar",4-5,"Calories: 300, Protein: 20g, Carbs: 5g, Fats: 25g",Intermediate,Adults,Vegetable Dish with Meat
219,Sapin-Sapin,90,"Glutinous rice flour, Coconut milk, Sugar, Ube, Jackfruit",2-3,"Calories: 250, Protein: 5g, Carbs: 40g, Fats: 10g",Intermediate,All ages,Dessert
220,Pancit Malabon,45,"Thick rice noodles, Seafood, Shrimp, Fish sauce, Eggs",4-5,"Calories: 500, Protein: 25g, Carbs: 70g, Fats: 15g",Intermediate,Adults,Vegetable Dish with Seafood
211,Menudo,90,"Pork, Carrots, Potatoes, Tomato sauce, Raisins",4-5,"Calories: 400, Protein: 30g, Carbs: 50g, Fats: 15g",Intermediate,Adults,Vegetable Dish with Meat
212,Chicken Inasal,60,"Chicken, Vinegar, Lemongrass, Garlic, Soy sauce",4-5,"Calories: 350, Protein: 25g, Carbs: 5g, Fats: 20g",Intermediate,Adults,Vegetable Dish with Meat
213,Laing,45,"Taro leaves, Coconut milk, Chili, Shrimp paste",2-3,"Calories: 300, Protein: 10g, Carbs: 20g, Fats: 25g",Intermediate,All ages,Vegetable Dish with Seafood
214,Chopsuey,30,"Mixed vegetables, Chicken, Soy sauce, Garlic, Cornstarch",4-5,"Calories: 250, Protein: 20g, Carbs: 30g, Fats: 10g",Beginner,Kids,Vegetable Dish
215,Bibingka,60,"Rice flour, Coconut milk, Sugar, Eggs, Cheese",2-3,"Calories: 200, Protein: 4g, Carbs: 30g, Fats: 8g",Intermediate,All ages,Dessert
216,Turon,30,"Banana, Spring roll wrapper, Brown sugar, Oil",2-3,"Calories: 200, Protein: 1g, Carbs: 30g, Fats: 10g",Beginner,Kids,Dessert
217,Puto,40,"Rice flour, Sugar, Coconut milk, Baking powder, Cheese",2-3,"Calories: 150, Protein: 3g, Carbs: 25g, Fats: 5g",Beginner,Kids,Dessert
218,Longganisa,60,"Ground pork, Garlic, Spices, Sugar, Vinegar",4-5,"Calories: 300, Protein: 20g, Carbs: 5g, Fats: 25g",Intermediate,Adults,Vegetable Dish with Meat
219,Sapin-Sapin,90,"Glutinous rice flour, Coconut milk, Sugar, Ube, Jackfruit",2-3,"Calories: 250, Protein: 5g, Carbs: 40g, Fats: 10g",Intermediate,All ages,Dessert
220,Pancit Malabon,45,"Thick rice noodles, Seafood, Shrimp, Fish sauce, Eggs",4-5,"Calories: 500, Protein: 25g, Carbs: 70g, Fats: 15g",Intermediate,Adults,Vegetable Dish with Seafood
